Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,SE_T083_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003
"41021","05000US41021","Gilliam County, Oregon","Gilliam County, Oregon","OR","050","00","ACSSF","0000023",,,,,"41","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873,48,0,48,0,100,1566,1075,3,1072,987,85,491,68.65,0.19,68.45,63.03,5.43,31.35,42260,25629,1143,901,121,431,238,91,0,20,0,13.43,47.84,26.42,10.1,0,2.22,0,681,577.477477477477,335,36,299,10.75,89.25,1137,101,1036,8.88,91.12,395,48,347,12.15,87.85
"41023","05000US41023","Grant County, Oregon","Grant County, Oregon","OR","050","00","ACSSF","0000024",,,,,"41","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7359,299,25,274,8.36,91.64,6087,3376,0,3376,3062,314,2711,55.46,0,55.46,50.3,5.16,44.54,34367,22062,4335,3380,302,851,855,1343,3,19,7,8.93,25.18,25.3,39.73,0.09,0.56,0.21,569,520.770010131712,1433,295,1138,20.59,79.41,4187,652,3535,15.57,84.43,1652,205,1447,12.41,87.59
"41025","05000US41025","Harney County, Oregon","Harney County, Oregon","OR","050","00","ACSSF","0000025",,,,,"41","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7383,421,41,380,9.74,90.26,5979,3595,0,3595,3277,318,2384,60.13,0,60.13,54.81,5.32,39.87,38702,22228,3813,3290,230,1367,686,908,0,89,10,6.99,41.55,20.85,27.6,0,2.71,0.3,528,446.073298429319,1625,457,1168,28.12,71.88,4274,890,3384,20.82,79.18,1323,133,1190,10.05,89.95
"41027","05000US41027","Hood River County, Oregon","Hood River County, Oregon","OR","050","00","ACSSF","0000026",,,,,"41","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21962,1129,78,1051,6.91,93.09,16905,12023,7,12016,11351,665,4882,71.12,0.04,71.08,67.15,3.93,28.88,54109,25030,9193,8204,2618,4436,322,775,0,53,0,31.91,54.07,3.92,9.45,0,0.65,0,713,695.449417074088,5623,575,5048,10.23,89.77,13579,1386,12193,10.21,89.79,2593,211,2382,8.14,91.86
"41029","05000US41029","Jackson County, Oregon","Jackson County, Oregon","OR","050","00","ACSSF","0000027",,,,,"41","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202178,10670,870,9800,8.15,91.85,163089,99050,70,98980,87663,11317,64039,60.73,0.04,60.69,53.75,6.94,39.27,43386,24263,90476,83897,32911,42476,1601,6460,90,273,86,39.23,50.63,1.91,7.7,0.11,0.33,0.1,844,897.553373850709,43898,9286,34612,21.15,78.85,121142,19702,101440,16.26,83.74,34541,2547,31994,7.37,92.63
"41031","05000US41031","Jefferson County, Oregon","Jefferson County, Oregon","OR","050","00","ACSSF","0000028",,,,,"41","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21786,1073,183,890,17.05,82.95,16775,9922,0,9922,8417,1505,6853,59.15,0,59.15,50.18,8.97,40.85,42867,20300,9816,7844,1289,4535,461,1528,12,0,19,16.43,57.81,5.88,19.48,0.15,0,0.24,691,691.577274533174,5531,1790,3741,32.36,67.64,12372,2279,10093,18.42,81.58,3213,188,3025,5.85,94.15
"41033","05000US41033","Josephine County, Oregon","Josephine County, Oregon","OR","050","00","ACSSF","0000029",,,,,"41","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82456,4472,346,4126,7.74,92.26,68015,34980,29,34951,30530,4421,33035,51.43,0.04,51.39,44.89,6.5,48.57,37824,21535,37870,34482,9048,17418,1565,6278,28,108,37,26.24,50.51,4.54,18.21,0.08,0.31,0.11,744,772.657091561939,16601,4841,11760,29.16,70.84,47146,8839,38307,18.75,81.25,17581,1639,15942,9.32,90.68
"41035","05000US41035","Klamath County, Oregon","Klamath County, Oregon","OR","050","00","ACSSF","0000030",,,,,"41","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66517,3580,505,3075,14.11,85.89,53096,31587,263,31324,27931,3393,21509,59.49,0.5,59,52.6,6.39,40.51,41787,22169,32612,27378,12263,8181,2070,3633,31,941,259,44.79,29.88,7.56,13.27,0.11,3.44,0.95,701,703.823870220162,14568,3521,11047,24.17,75.83,39771,7273,32498,18.29,81.71,10976,1028,9948,9.37,90.63
"41037","05000US41037","Lake County, Oregon","Lake County, Oregon","OR","050","00","ACSSF","0000031",,,,,"41","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7906,427,20,407,4.68,95.32,6642,3852,0,3852,3324,528,2790,57.99,0,57.99,50.05,7.95,42.01,36583,22151,4418,3516,358,1019,978,1068,0,61,32,10.18,28.98,27.82,30.38,0,1.73,0.91,582,449.958088851635,1542,429,1113,27.82,72.18,4419,879,3540,19.89,80.11,1549,98,1451,6.33,93.67
"41039","05000US41039","Lane County, Oregon","Lane County, Oregon","OR","050","00","ACSSF","0000032",,,,,"41","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349832,21615,893,20722,4.13,95.87,288569,176284,110,176174,157787,18387,112285,61.09,0.04,61.05,54.68,6.37,38.91,42621,24105,155320,144806,26907,103679,1393,10912,32,1286,597,18.58,71.6,0.96,7.54,0.02,0.89,0.41,793,816.265519872373,67836,12211,55625,18,82,223012,42848,180164,19.21,80.79,50948,4484,46464,8.8,91.2
