Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,SE_T083_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003
"01","04000US01","Alabama","Alabama","AL","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747424,275604,21814,253790,7.91,92.09,3748844,2259707,16245,2243462,2027919,215543,1489137,60.28,0.43,59.84,54.09,5.75,39.72,42934,23483,2161247,1831269,736622,1062612,4683,21361,114,1397,4480,40.22,58.03,0.26,1.17,0.01,0.08,0.24,674,636.068319694734,1117857,280932,836925,25.13,74.87,2886264,462034,2424230,16.01,83.99,627311,70419,556892,11.23,88.77
"02","04000US02","Alaska","Alaska","AK","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700703,42629,2995,39634,7.03,92.97,536544,384749,17791,366958,336026,30932,151795,71.71,3.32,68.39,62.63,5.77,28.29,69014,31944,304373,252920,127113,25039,83916,14727,32,1421,672,50.26,9.9,33.18,5.82,0.01,0.56,0.27,1017,983.337395041762,182576,23313,159263,12.77,87.23,450642,39296,411346,8.72,91.28,51390,2502,48888,4.87,95.13
"04","04000US04","Arizona","Arizona","AZ","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6337373,366509,30070,336439,8.2,91.8,4895581,3027149,19709,3007440,2739077,268363,1868432,61.83,0.4,61.43,55.95,5.48,38.17,50752,25784,2816719,2344215,914661,1349682,1540,46804,1602,6731,23195,39.02,57.58,0.07,2,0.07,0.29,0.99,881,908.33144044286,1596749,366118,1230631,22.93,77.07,3750516,567477,3183039,15.13,84.87,849925,69980,779945,8.23,91.77
"05","04000US05","Arkansas","Arkansas","AR","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895928,164368,11282,153086,6.86,93.14,2267563,1373224,6848,1366376,1252276,114100,894339,60.56,0.3,60.26,55.23,5.03,39.44,40149,21833,1309888,1121386,571426,491701,1826,51216,178,3036,2003,50.96,43.85,0.16,4.57,0.02,0.27,0.18,637,601.546899478971,696101,186278,509823,26.76,73.24,1720805,285667,1435138,16.6,83.4,397278,44877,352401,11.3,88.7
"06","04000US06","California","California","CA","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36969200,2256129,120375,2135754,5.34,94.66,28796402,18618649,146361,18472288,16603417,1868871,10177753,64.66,0.51,64.15,57.66,6.49,35.34,61632,29634,13631129,12433172,8732442,3033438,38644,220878,9565,41691,356514,70.24,24.4,0.31,1.78,0.08,0.34,2.87,1185,1241.56027023559,9156618,1826580,7330038,19.95,80.05,22983252,3016341,19966911,13.12,86.88,4071924,368560,3703364,9.05,90.95
"08","04000US08","Colorado","Colorado","CO","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4966061,273767,17958,255809,6.56,93.44,3888310,2710732,31286,2679446,2476167,203279,1177578,69.71,0.8,68.91,63.68,5.23,30.29,57685,30816,2197823,1941193,1544603,334456,2708,40270,2533,11154,5469,79.57,17.23,0.14,2.07,0.13,0.57,0.28,883,927.579201192648,1196763,198147,998616,16.56,83.44,3136215,366621,2769594,11.69,88.31,519182,42959,476223,8.27,91.73
"09","04000US09","Connecticut","Connecticut","CT","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558172,202458,8596,193862,4.25,95.75,2839677,1937088,8699,1928389,1764755,163634,902589,68.22,0.31,67.91,62.15,5.76,31.78,69243,37627,1482798,1360115,467528,203362,654783,25409,346,6424,2263,34.37,14.95,48.14,1.87,0.03,0.47,0.17,1020,1035.76905973849,810097,102381,707716,12.64,87.36,2162357,192863,1969494,8.92,91.08,475737,31527,444210,6.63,93.37
"10","04000US10","Delaware","Delaware","DE","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890856,51674,3731,47943,7.22,92.78,709757,459204,3916,455288,420057,35231,250553,64.7,0.55,64.15,59.18,4.96,35.3,59317,29659,403095,332837,169493,98995,58474,3555,70,1459,791,50.92,29.74,17.57,1.07,0.02,0.44,0.24,975,961.142520743316,202000,33640,168360,16.65,83.35,541112,54576,486536,10.09,89.91,122632,8589,114043,7,93
"11","04000US11","District of Columbia","District of Columbia","DC","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593955,36325,2426,33899,6.68,93.32,502503,337523,3115,334408,300913,33495,164980,67.17,0.62,66.55,59.88,6.67,32.83,61835,43993,295510,260136,165961,82443,8358,127,11,1388,1848,63.8,31.69,3.21,0.05,0,0.53,0.71,1135,1233.76827669658,101879,28813,73066,28.28,71.72,393417,63842,329575,16.23,83.77,65464,9178,56286,14.02,85.98
"12","04000US12","Florida","Florida","FL","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18688787,992198,66887,925311,6.74,93.26,15169949,9264920,58331,9206589,8258511,948078,5905029,61.07,0.38,60.69,54.44,6.25,38.93,47827,26733,8944635,7140096,432892,6558020,22086,15291,1781,3141,106885,6.06,91.85,0.31,0.21,0.02,0.04,1.5,981,1003.1295159858,3940092,822875,3117217,20.88,79.12,11200930,1546872,9654058,13.81,86.19,3141489,309653,2831836,9.86,90.14
