Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_006,PCT_SE_T013_007,PCT_SE_T013_008,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T037_001,SE_T037_002,SE_T037_003,PCT_SE_T037_002,PCT_SE_T037_003,SE_T057_001,SE_T083_001,SE_T157_001,SE_T093_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,SE_T104_001,SE_T106_001,SE_T114_001,SE_T114_002,SE_T114_003,PCT_SE_T114_002,PCT_SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,PCT_SE_T115_002,PCT_SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,PCT_SE_T116_002,PCT_SE_T116_003,SE_T117_001,SE_T117_002,SE_T117_003,SE_T117_004,SE_T117_005,SE_T117_006,SE_T117_007,PCT_SE_T117_002,PCT_SE_T117_003,PCT_SE_T117_004,PCT_SE_T117_005,PCT_SE_T117_006,PCT_SE_T117_007
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329923,1329923,1260476,16303,8013,14643,211,3151,27126,94.78,1.23,0.6,1.1,0.02,0.24,2.04,65493,2067,63426,3.16,96.84,1101688,696028,1770,694258,652638,41620,405660,63.18,0.16,63.02,59.24,3.78,36.82,694258,652638,41620,94.01,5.99,50826,28473,0.4515,727127,551109,83987,29389,350795,74570,521,10525,1322,15.24,5.33,63.65,13.53,0.09,1.91,0.24,790,778.503019542709,253173,45212,207961,17.86,82.14,806042,108337,697705,13.44,86.56,235231,20856,214375,8.87,91.13,1294446,67067,50027,57311,122647,124291,873103,5.18,3.86,4.43,9.47,9.6,67.45
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5959902,5959902,3408240,1765926,15946,362259,2792,218586,186153,57.19,29.63,0.27,6.08,0.05,3.67,3.12,311681,11634,300047,3.73,96.27,4764901,3249911,28072,3221839,3005753,216086,1514990,68.21,0.59,67.62,63.08,4.53,31.79,3221839,3005753,216086,93.29,6.71,76067,37756,0.4513,2421909,2177492,1038900,877347,207818,32116,1600,10322,9389,47.71,40.29,9.54,1.47,0.07,0.47,0.43,1264,1273.58385328946,1328964,176259,1152705,13.26,86.74,3694480,339521,3354959,9.19,90.81,796119,61055,735064,7.67,92.33,5819563,276386,136880,163569,359952,400777,4481999,4.75,2.35,2.81,6.19,6.89,77.02
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6742143,6742143,5343665,489233,13931,411736,2002,278562,203014,79.26,7.26,0.21,6.11,0.03,4.13,3.01,380211,9938,370273,2.61,97.39,5522235,3725838,4627,3721211,3468864,252347,1796397,67.47,0.08,67.39,62.82,4.57,32.53,3721211,3468864,252347,93.22,6.78,70954,38069,0.4826,2836658,2558889,1374077,384621,723433,44635,1346,18782,11995,53.7,15.03,28.27,1.74,0.05,0.73,0.47,1129,1164.69510774667,1369854,204202,1165652,14.91,85.09,4157633,448178,3709455,10.78,89.22,978542,88456,890086,9.04,90.96,6506029,345195,175157,220484,420409,422023,4922761,5.31,2.69,3.39,6.46,6.49,75.66
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909600,9909600,7817827,1376446,52891,276769,2492,111377,271798,78.89,13.89,0.53,2.79,0.03,1.12,2.74,549476,24450,525026,4.45,95.55,7953581,4866369,3718,4862651,4449717,412934,3087212,61.18,0.05,61.14,55.95,5.19,38.82,4862651,4449717,412934,91.51,8.49,50803,27549,0.4648,4544920,3860394,3283240,345879,48282,130128,696,35411,16758,85.05,8.96,1.25,3.37,0.02,0.92,0.43,799,815.687605630557,2185519,499145,1686374,22.84,77.16,6009220,954631,5054589,15.89,84.11,1489126,121290,1367836,8.15,91.85,9683865,714978,409522,450566,877963,879083,6351753,7.38,4.23,4.65,9.07,9.08,65.59
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450868,5450868,4597525,310853,56904,246819,1969,88296,148502,84.34,5.7,1.04,4.53,0.04,1.62,2.72,286771,8578,278193,2.99,97.01,4311636,3012522,2228,3010294,2864441,145853,1299114,69.87,0.05,69.82,66.44,3.38,30.13,3010294,2864441,145853,95.15,4.85,63217,33225,0.449,2382855,2135310,1635095,360181,46177,53094,402,25118,15243,76.57,16.87,2.16,2.49,0.02,1.18,0.71,873,903.197479411972,1261600,175079,1086521,13.88,86.12,3316219,346668,2969551,10.45,89.55,749200,55449,693751,7.4,92.6,5327019,249635,143404,184157,391774,411114,3946935,4.69,2.69,3.46,7.35,7.72,74.09
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2989192,2989192,1764038,1121327,13072,28562,492,26334,35367,59.01,37.51,0.44,0.96,0.02,0.88,1.18,171175,9080,162095,5.3,94.7,2338750,1351797,10307,1341490,1212650,128840,986953,57.8,0.44,57.36,51.85,5.51,42.2,1341490,1212650,128840,90.4,9.6,40528,21651,0.4799,1295242,1098803,468789,607649,1595,15807,147,1363,3453,42.66,55.3,0.15,1.44,0.01,0.12,0.31,723,658.589857095833,721306,227561,493745,31.55,68.45,1758278,362642,1395636,20.62,79.38,413507,55350,358157,13.39,86.61,2893091,290625,174610,180318,347090,313740,1586708,10.05,6.04,6.23,12,10.84,54.84
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059651,6059651,5000875,701896,25641,107953,6479,68766,148041,82.53,11.58,0.42,1.78,0.11,1.13,2.44,320455,14280,306175,4.46,95.54,4823223,3055025,19699,3035326,2835183,200143,1768198,63.34,0.41,62.93,58.78,4.15,36.66,3035326,2835183,200143,93.41,6.59,49593,27044,0.4632,2738774,2372362,1431168,827386,5005,93353,815,7756,6879,60.33,34.88,0.21,3.94,0.03,0.33,0.29,759,762.863766732222,1364095,287147,1076948,21.05,78.95,3620233,531348,3088885,14.68,85.32,892038,79260,812778,8.89,91.11,5876366,395468,232433,269854,559870,575425,3843316,6.73,3.96,4.59,9.53,9.79,65.4
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023391,1023391,911907,4260,67222,7481,841,5158,26522,89.11,0.42,6.57,0.73,0.08,0.5,2.59,51453,2826,48627,5.49,94.51,822530,523599,3475,520124,490742,29382,298931,63.66,0.42,63.23,59.66,3.57,36.34,520124,490742,29382,94.35,5.65,48380,27309,0.4587,491439,412653,271228,94549,4263,35734,301,5045,1533,65.73,22.91,1.03,8.66,0.07,1.22,0.37,732,726.931715750743,219932,40953,178979,18.62,81.38,612187,93655,518532,15.3,84.7,166195,14069,152126,8.47,91.53,998314,63641,38534,46502,100947,102745,645945,6.37,3.86,4.66,10.11,10.29,64.7
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881259,1881259,1655708,88388,15739,39794,1305,36672,43653,88.01,4.7,0.84,2.12,0.07,1.95,2.32,103741,2901,100840,2.8,97.2,1463872,1024737,4840,1019897,977353,42544,439135,70,0.33,69.67,66.76,2.91,30,1019897,977353,42544,95.83,4.17,54384,28596,0.442,815006,741581,506600,214431,2899,10241,139,4944,2327,68.31,28.92,0.39,1.38,0.02,0.67,0.31,745,759.83199285076,459033,75250,383783,16.39,83.61,1108704,131372,977332,11.85,88.15,259454,20399,239055,7.86,92.14,1827191,95195,57362,74464,160089,170144,1269937,5.21,3.14,4.08,8.76,9.31,69.5
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2839172,2839172,1933057,243552,31927,222612,18334,260654,129036,68.09,8.58,1.12,7.84,0.65,9.18,4.54,138930,7825,131105,5.63,94.37,2248477,1443621,7934,1435687,1302162,133525,804856,64.2,0.35,63.85,57.91,5.94,35.8,1435687,1302162,133525,90.7,9.3,53094,27253,0.4522,1200517,1030701,654992,344172,6832,14808,1100,4435,4362,63.55,33.39,0.66,1.44,0.11,0.43,0.42,984,1026.12155891431,654444,139573,514871,21.33,78.67,1747645,244325,1503320,13.98,86.02,396454,33359,363095,8.41,91.59,2798543,190000,100463,126794,293562,294756,1792968,6.79,3.59,4.53,10.49,10.53,64.07
